Name,Link,Description,Address,Themes,Latitude,Longitude
箭扣长城,https://s.visitbeijing.com.cn/attraction/101906,这里长城多修于险峰断崖之上，雄奇峻峭，气势恢宏，走势极富变化和韵律，是长城摄影的热点,北京市怀柔县西北八道河乡境内,"遗产古迹, 特色游, 登山",40.856494,116.707093
北京黄花城水长城旅游区,https://s.visitbeijing.com.cn/attraction/101401,以奇而著称，融山川、碧水、古长城为一体的旅游休闲胜地。,北京市怀柔九渡河镇西水峪村16号,"遗产古迹, 休闲娱乐, 特色游, 登山, 踏青, 赏花, 避暑",40.412079,116.304362
北顶娘娘庙,https://s.visitbeijing.com.cn/attraction/118340,这是一座彰显着民族精神和人文奥运魅力的场所,北京市朝阳区国家体育场南路与天辰西路交汇,遗产古迹,39.989695,116.395005
北京天开寺景区,https://s.visitbeijing.com.cn/attraction/119066,"天开寺位於北京市房山区韩村河镇岳各庄龙门生态园内，它不仅是北京境内现存历史最悠久的古刹之一,距今己近2000年的历史，也是释迦牟尼佛舍利出 土的圣地。",北京市房山区韩村河镇龙门口村,遗产古迹,39.612906,115.904275
周口店遗址,https://s.visitbeijing.com.cn/attraction/101537,世界著名的古人类和古脊椎动物考古遗址，是“北京人”的发祥地。,北京市房山区周口店大街1号,"博物馆, 遗产古迹, 特色游",39.689373,115.929961
蟠龙山长城,https://s.visitbeijing.com.cn/attraction/119498,蟠龙山长城风景区蟠龙山长城风景区位于具有燕京门户之称的密云古北口镇，建于1680年的古御道镇域内长城由卧虎山长城、蟠龙山长城、司马台长城组成。,密云区古北口镇口北口村,"遗产古迹, 特色游, 踏青, 赏花",40.682846,117.19157
古北口长城,https://s.visitbeijing.com.cn/attraction/101660,"古北口为历代兵家必争之地。从古至今就是内地通向松辽平原和内蒙古的咽喉要地，有""京师锁钥""之称。",北京密云区古北口镇,"遗产古迹, 特色游, 登山, 踏青, 赏花",40.691878,117.163777
司马台长城风景区,https://s.visitbeijing.com.cn/attraction/101429,长城是中国建筑之最，而司马台长城是中国长城之最。,北京市密云区古北口镇司马台村北,"遗产古迹, 特色游, 登山",40.656085,117.245138
马致远故居,https://s.visitbeijing.com.cn/attraction/120568,马致远故居位于京西门头沟区王平镇的“王平古道”的韭园村。,北京市门头沟区王平镇西落坡村内,遗产古迹,39.959261,116.032837
北京京西古道景区管理中心,https://s.visitbeijing.com.cn/attraction/119476,京西古道 如一张大网横纵门头沟全境，道路多而且长，这些古道主要有商运道、军用道、香道，它们互通有无。,北京市门头沟区妙峰山镇水峪咀村,"遗产古迹, 特色游, 登山, 踏青, 赏花",39.972182,116.053908
灵水举人村,https://s.visitbeijing.com.cn/attraction/119070,灵 水村位于北京市门头沟区斋堂镇境内，是京西古村落群中最具文化底蕴的古村落之一，距北京78公里，距镇政府所在地14公里，灵水村海拔430米，聚落面积 6.4万平方米，西北高，东南低，略呈长方形。,北京市门头沟区斋堂镇灵水村,"遗产古迹, 特色游",40.002486,115.734106
